Study	type_of_change	Change	SE	Nplacebo	measure	PercentageF	Age	AD_stage
van Dyck 2019	AM	-1.764	0.277	80	ADCS-ADL	38.8	70	22
van Dyck 2019	AM	-0.762	0.125	80	MMSE	38.8	70	22
van Dyck 2019	AM	0.0339	0.062	80	CDR-SB	38.8	70	22
van Dyck 2019	AM	0.73	0.326	80	NPI	38.8	70	22
van Dyck 2019	AM	1.418	0.209	80	ADAS-Cog-11	38.8	70	22
DAYBREAK 2019	LSM	-1.61	0.303	342	iADRS	61.9	72.1	23
DAYBREAK 2019	LSM	-0.64	0.091	476	MMSE	61.9	72.1	23
DAYBREAK 2019	LSM	-0.608	0.195	357	ADCS-iADL	61.9	72.1	23
DAYBREAK 2019	LSM	0.357	0.065	369	CDR-SB	61.9	72.1	23
DAYBREAK 2019	LSM	0.531	0.262	351	NPI	61.9	72.1	23
DAYBREAK 2019	LSM	0.605	0.125	358	FAQ	61.9	72.1	23
DAYBREAK 2019	LSM	0.988	0.189	460	ADAS-Cog-13	61.9	72.1	23
EXPEDITION3	LSM	-2.187	0.081	892	iADRS	58.9	73.26	23
EXPEDITION3	LSM	-1.315	0.058	897	ADCS-ADL	58.9	73.26	23
EXPEDITION3	LSM	-1.075	0.048	896	ADCS-iADL	58.9	73.26	23
EXPEDITION3	LSM	-0.549	0.023	876	MMSE	58.9	73.26	23
EXPEDITION3	LSM	-0.108	0.024	812	QOL-AD	58.9	73.26	23
EXPEDITION3	LSM	0.057	0.058	891	NPI	58.9	73.26	23
EXPEDITION3	LSM	0.331	0.016	895	CDR-SB	58.9	73.26	23
EXPEDITION3	LSM	0.835	0.032	892	FAQ	58.9	73.26	23
EXPEDITION3	LSM	0.885	0.043	1067	ADAS-Cog-11	58.9	73.26	23
EXPEDITION3	LSM	1.115	0.053	1067	ADAS-Cog-14	58.9	73.26	23
NAVIGATE-AD 2021	LSM	-2.38	0.5	15	iADRS	58	72.54	23
NAVIGATE-AD 2021	LSM	-1.691	0.319	15	ADCS-iADL	58	72.54	23
NAVIGATE-AD 2021	LSM	0.69	0.349	15	ADAS-Cog-13	58	72.54	23
REVERSE-SD 2021	AM	-0.462	0.287	79	MMSE	51.8	72.6	24
REVERSE-SD 2021	AM	0.5	0.1	78	CDR-SB	51.8	72.6	24
Trailblazer-ALZ 2021	LSM	-1.589	0.18	91	iADRS	51.6	75.4	24
Trailblazer-ALZ 2021	LSM	-0.821	0.117	91	ADCS-iADL	51.6	75.4	24
Trailblazer-ALZ 2021	LSM	-0.471	0.062	90	MMSE	51.6	75.4	24
Trailblazer-ALZ 2021	LSM	0.25	0.028	90	CDR-SB	51.6	75.4	24
Trailblazer-ALZ 2021	LSM	0.754	0.104	93	ADAS-Cog-13	51.6	75.4	24
AMARANTH 2019	LSM	-2.26	0.11	696	iADRS	53.8	71.4	25
AMARANTH 2019	LSM	-1.023	0.069	702	ADCS-iADL	53.8	71.4	25
AMARANTH 2019	LSM	-0.634	0.03	723	MMSE	53.8	71.4	25
AMARANTH 2019	LSM	0.348	0.02	704	CDR-SB	53.8	71.4	25
AMARANTH 2019	LSM	0.371	0.093	697	NPI	53.8	71.4	25
AMARANTH 2019	LSM	0.702	0.044	699	FAQ	53.8	71.4	25
AMARANTH 2019	LSM	1.189	0.063	723	ADAS-Cog-13	53.8	71.4	25
Eli Lilly 2018	LSM	-1.382	0.355	10	MMSE	55	67.73	25
Eli Lilly 2018	LSM	-0.121	0.047	9	NTB	55	67.73	25
Eli Lilly 2018	LSM	0.595	0.21	8	CDR-SB	55	67.73	25
Eli Lilly 2018	LSM	0.599	1.124	9	ADAS-Cog-14	55	67.73	25
Mullins 2019	AM	-1.05	0.415	14	ADCS-ADL	60	74	25
Mullins 2019	AM	-0.477	0.262	14	MMSE	60	74	25
Mullins 2019	AM	0.292	0.152	14	CDR-SB	60	74	25
Mullins 2019	AM	0.585	0.415	14	ADAS-Cog-11	60	74	25
Teng 2022	AM	-1.406	0.159	104	ADCS-ADL	55.6	69.7	25
Teng 2022	AM	0.36	0.038	105	CDR-SB	55.6	69.7	25
